Company Name,Date,Net sales,Total expenses,Net Profit/(Loss) for the period from continuing operations (after tax),PBT,PBDIT,PAT as % of net sales,Sector
Wipro Ltd.,2004-06-30,15627.0,12627.0,3268.0,3866.0,4248.0,20.91,Computers
Wockhardt Ltd.,2004-06-30,2032.0,1577.0,464.0,513.0,577.0,22.83,Pharmaceuticals
Zee Entertainment Enterprises Ltd.,2004-06-30,1448.2,1113.9,452.2,712.6,815.3,31.22,Media
Zensar Technologies Ltd.,2004-06-30,390.3,338.7,65.8,67.8,92.5,16.86,Computers
Zydus Lifesciences Ltd.,2004-06-30,2887.0,2734.0,328.0,377.0,560.0,11.36,Pharmaceuticals
3M India Ltd.,2004-09-30,659.4,598.7,75.4,121.4,135.7,11.43,Diversified
A B B India Ltd.,2004-09-30,5594.8,5459.7,359.7,543.7,598.5,6.43,Infrastructure
A C C Ltd.,2004-09-30,8854.3,8708.3,785.6,1194.8,1835.6,8.87,Cement
A P L Apollo Tubes Ltd.,2004-09-30,336.0,335.2,0.8,1.3,5.1,0.24,Steel
Aarti Drugs Ltd.,2004-09-30,607.7,636.2,45.2,59.2,91.5,7.44,Pharmaceuticals
Aarti Industries Ltd.,2004-09-30,1713.3,1692.7,122.6,157.9,249.4,7.16,Chemicals
Abbott India Ltd.,2004-08-31,1045.8,920.7,432.9,533.5,543.6,41.39,Pharmaceuticals
Adani Enterprises Ltd.,2004-09-30,29356.0,31057.8,126.5,192.7,368.1,0.43,Trading
Aegis Logistics Ltd.,2004-09-30,261.9,234.6,28.7,46.2,95.0,10.96,Transport
Ajanta Pharma Ltd.,2004-09-30,389.5,342.8,14.1,18.8,63.2,3.62,Pharmaceuticals
Akzo Nobel India Ltd.,2004-09-30,1909.9,1943.3,229.1,244.7,299.5,12.0,Paints
Alkyl Amines Chemicals Ltd.,2004-09-30,251.6,279.0,6.0,14.4,42.8,2.38,Chemicals
Alok Industries Ltd.,2004-09-30,2804.0,2646.1,205.2,252.5,537.9,7.32,Textiles
Amara Raja Batteries Ltd.,2004-09-30,516.8,514.3,37.6,45.5,80.3,7.28,Auto
Ambuja Cements Ltd.,2004-09-30,5988.8,5249.2,904.6,1080.6,1793.5,15.1,Cement
Apollo Hospitals Enterprise Ltd.,2004-09-30,1532.0,1396.0,152.0,235.0,336.0,9.92,Hospitals
Apollo Tyres Ltd.,2004-09-30,5076.3,5272.4,148.7,200.9,465.4,2.93,Tyres
Asahi India Glass Ltd.,2004-09-30,1521.8,1278.9,190.6,207.2,320.1,12.52,Glass
Ashok Leyland Ltd.,2004-09-30,9147.6,9238.3,430.6,594.8,853.0,4.71,Auto
Asian Paints Ltd.,2004-09-30,5179.0,4794.8,488.1,772.6,900.6,9.42,Paints
Astrazeneca Pharma India Ltd.,2004-09-30,475.5,387.9,70.3,104.5,113.1,14.78,Pharmaceuticals
Atul Ltd.,2004-09-30,1597.2,1615.9,35.4,47.7,170.3,2.22,Chemicals
Aurobindo Pharma Ltd.,2004-09-30,2693.1,2643.2,25.6,40.5,264.7,0.95,Pharmaceuticals
Avanti Feeds Ltd.,2004-09-30,395.5,361.1,31.9,41.2,50.4,8.07,Aquaculture
Axis Bank Ltd.,2004-09-30,4493.1,4378.7,462.2,731.7,3417.6,10.29,Banks
B A S F India Ltd.,2004-09-30,1769.2,1658.7,128.4,202.7,294.3,7.26,Chemicals
Bajaj Electricals Ltd.,2004-09-30,1422.2,1489.5,33.7,62.8,120.8,2.37,Domestic
Bajaj Finance Ltd.,2004-09-30,330.5,256.3,125.0,146.0,225.3,37.82,Finance
Bajaj Holdings & Invst. Ltd.,2004-09-30,14482.5,13483.4,1794.5,2644.5,3109.3,12.39,Finance
Balkrishna Industries Ltd.,2004-09-30,1165.2,1130.0,139.8,195.7,265.0,12.0,Tyres
Balrampur Chini Mills Ltd.,2004-09-30,1709.6,648.7,16.1,21.1,172.1,0.94,Sugar
Bank Of Baroda,2004-09-30,15481.4,16943.0,2133.1,3042.2,11640.7,13.78,Banks
Bank Of India,2004-09-30,15219.8,17322.0,495.4,774.4,10037.2,3.25,Banks
Bata India Ltd.,2004-09-30,1578.2,1608.5,-244.6,-244.6,-186.4,-15.5,Leather
Bayer Cropscience Ltd.,2004-09-30,2547.6,2336.7,277.0,405.7,489.9,10.87,Chemicals
Berger Paints India Ltd.,2004-09-30,2074.3,2056.3,123.1,174.0,221.6,5.93,Paints
Bharat Electronics Ltd.,2004-09-30,8108.1,7571.7,1105.6,1633.2,1816.8,13.64,Electric
Bharat Forge Ltd.,2004-09-30,2901.5,2636.5,378.3,602.8,817.5,13.04,Castings
Bharat Heavy Electricals Ltd.,2004-09-30,17293.0,20724.5,1582.5,2470.3,3158.1,9.15,Infrastructure
Bharat Petroleum Corpn. Ltd.,2004-09-30,133741.0,141421.0,3214.0,4711.0,6713.0,2.4,Refineries
Birla Corporation Ltd.,2004-09-30,2630.9,2482.4,133.8,139.8,261.0,5.09,Cement
Birlasoft Ltd.,2004-09-30,476.9,420.9,56.0,60.5,69.5,11.74,Computers
Blue Dart Express Ltd.,2004-09-30,1158.7,1060.0,100.5,159.9,208.8,8.67,Couriers
Blue Star Ltd.,2004-09-30,2060.2,2025.5,87.5,117.5,150.2,4.25,Consumer
Bombay Burmah Trdg. Corpn. Ltd.,2004-09-30,388.7,385.3,29.6,31.6,66.8,7.62,Plantations
Borosil Renewables Ltd.,2004-09-30,145.7,153.4,4.5,5.7,16.8,3.09,Glass
Bosch Ltd.,2004-09-30,6041.0,5298.4,972.0,1470.0,1685.4,16.09,Auto
Brightcom Group Ltd.,2004-09-30,15.6,14.5,1.1,1.1,2.5,7.05,Computers
Britannia Industries Ltd.,2004-09-30,4271.0,4054.0,485.0,695.0,753.0,11.36,Food
C C L Products (India) Ltd.,2004-09-30,249.2,190.2,43.9,43.9,51.8,17.62,Plantations
C E S C Ltd.,2004-09-30,5810.0,5480.0,520.0,520.0,1870.0,8.95,Power
Can Fin Homes Ltd.,2004-09-30,299.3,259.2,40.1,53.8,261.5,13.4,Finance
Caplin Point Laboratories Ltd.,2004-09-30,42.2,38.9,2.4,2.4,3.2,5.69,Pharmaceuticals
Capri Global Capital Ltd.,2004-09-30,0.8,2.1,-0.1,-0.1,-0.1,-12.5,Finance
Carborundum Universal Ltd.,2004-09-30,752.1,703.1,84.0,123.8,160.4,11.17,Abrasives
Castrol India Ltd.,2004-09-30,3046.4,3005.3,310.6,480.1,521.5,10.2,Lubricants
Ceat Ltd.,2004-09-30,3829.1,3902.1,-51.6,-53.0,169.6,-1.35,Tyres
Century Plyboards (India) Ltd.,2004-09-30,457.4,525.1,26.2,30.3,42.0,5.73,Miscellaneous
Century Textiles & Inds. Ltd.,2004-09-30,5747.1,5777.7,142.7,157.2,572.2,2.48,Diversified
Chambal Fertilisers & Chemicals Ltd.,2004-09-30,6828.4,7852.5,405.6,705.6,1296.3,5.94,Fertilisers
Cholamandalam Financial Holdings Ltd.,2004-09-30,3225.1,3278.0,122.2,171.9,300.7,3.79,Miscellaneous
Cholamandalam Investment & Finance Co. Ltd.,2004-09-30,536.8,450.8,86.0,127.5,363.2,16.02,Finance
Cipla Ltd.,2004-09-30,5813.7,4993.3,958.7,1228.7,1393.2,16.49,Pharmaceuticals
City Union Bank Ltd.,2004-09-30,724.2,637.4,92.2,92.2,559.2,12.73,Banks
Colgate-Palmolive (India) Ltd.,2004-09-30,2456.9,2223.2,269.7,445.8,496.4,10.98,Personal
Container Corpn. Of India Ltd.,2004-09-30,4907.9,3905.4,1127.1,1616.6,1767.4,22.97,Transport
Coromandel International Ltd.,2004-09-30,4848.9,4072.5,183.1,332.1,471.2,3.78,Fertilisers
Crisil Ltd.,2004-09-30,229.1,172.8,57.0,84.7,99.5,24.88,Miscellaneous
Cummins India Ltd.,2004-09-30,2967.6,2887.2,290.6,425.0,521.8,9.79,Engines
Cyient Ltd.,2004-09-30,383.0,342.6,61.4,84.2,118.9,16.03,Computers
D C M Shriram Ltd.,2004-09-30,4459.3,4187.7,179.2,251.9,465.1,4.02,Diversified
D L F Ltd.,2004-09-30,,,,,,,Construction
Dabur India Ltd.,2004-09-30,2781.2,2352.6,431.3,478.8,528.9,15.51,Personal
Deepak Fertilisers & Petrochemicals Corpn. Ltd.,2004-09-30,1038.0,953.2,160.2,239.5,331.7,15.43,Fertilisers
Deepak Nitrite Ltd.,2004-09-30,719.6,715.6,14.4,26.5,75.3,2.0,Chemicals
Dhanuka Agritech Ltd.,2004-09-30,269.3,256.7,11.9,23.1,25.3,4.42,Chemicals
Dr. Reddy'S Laboratories Ltd.,2004-09-30,4322.4,4260.0,389.3,420.0,665.8,9.01,Pharmaceuticals
E I D-Parry (India) Ltd.,2004-09-30,1309.5,1461.0,253.7,309.7,383.4,19.37,Sugar
E I H Ltd.,2004-09-30,1221.6,1311.3,-49.4,-82.5,184.8,-4.04,Hotels
E P L Ltd.,2004-09-30,553.0,476.0,101.0,156.0,212.0,18.26,Packaging
Eicher Motors Ltd.,2004-09-30,4459.5,4590.3,103.2,144.8,329.5,2.31,Auto
Elgi Equipments Ltd.,2004-09-30,714.3,654.7,61.8,82.3,105.2,8.65,Compressors
Emami Ltd.,2004-09-30,418.1,497.6,45.5,45.5,52.8,10.88,Personal
Engineers India Ltd.,2004-09-30,1566.9,1460.3,253.8,403.8,426.8,16.2,Infrastructure
Esab India Ltd.,2004-09-30,491.9,456.8,75.7,97.6,114.8,15.39,Electrodes
Escorts Kubota Ltd.,2004-09-30,2919.9,3169.8,-262.9,-319.2,0.6,-9.0,Auto
Exide Industries Ltd.,2004-09-30,3069.0,2890.9,197.3,329.8,482.9,6.43,Auto
F D C Ltd.,2004-09-30,809.0,691.9,86.2,138.7,154.6,10.66,Pharmaceuticals
Federal Bank Ltd.,2004-09-30,3055.3,3465.5,31.9,38.4,1758.0,1.04,Banks
Finolex Cables Ltd.,2004-09-30,1593.6,1281.0,50.0,72.5,160.9,3.14,Cables
Finolex Industries Ltd.,2004-09-30,1943.5,1907.8,283.9,451.7,590.8,14.61,Petrochemicals
G A I L (India) Ltd.,2004-09-30,33897.2,30569.4,4561.6,7108.1,9769.3,13.46,Oil Drilling And Exploration
G H C L Ltd.,2004-09-30,1212.0,1202.3,51.1,88.8,206.4,4.22,Chemicals
G M M Pfaudler Ltd.,2004-09-30,187.7,185.7,16.0,25.2,31.6,8.52,Engineering
Garware Technical Fibres Ltd.,2004-09-30,609.9,578.1,41.1,49.1,82.8,6.74,Textiles
Gillette India Ltd.,2004-09-30,1073.5,983.2,156.0,255.1,294.0,14.53,Personal
Glaxosmithkline Pharmaceuticals Ltd.,2004-09-30,3736.4,3085.1,1725.0,2185.9,2227.6,46.17,Pharmaceuticals
Glenmark Pharmaceuticals Ltd.,2004-09-30,1503.6,1175.0,289.4,417.0,486.6,19.25,Pharmaceuticals
Godfrey Phillips India Ltd.,2004-09-30,1635.0,1605.8,118.9,185.2,233.0,7.27,Cigarettes
Godrej Industries Ltd.,2004-09-30,1900.7,2226.2,370.8,398.5,509.3,19.51,Personal
Granules India Ltd.,2004-09-30,299.6,285.8,14.7,18.4,48.5,4.91,Pharmaceuticals
Graphite India Ltd.,2004-09-30,1339.9,1241.5,131.3,182.3,264.7,9.8,Electrodes
Grasim Industries Ltd.,2004-09-30,15335.0,13701.6,2199.4,3224.4,4297.5,14.34,Diversified
Great Eastern Shipping Co. Ltd.,2004-09-30,4885.3,3165.5,1671.8,1557.9,2443.8,34.22,Shipping
Greaves Cotton Ltd.,2004-09-30,1699.0,1546.8,127.2,199.2,257.2,7.49,Engines
Grindwell Norton Ltd.,2004-09-30,672.0,657.0,76.0,115.0,132.0,11.31,Abrasives
Gujarat Alkalies & Chemicals Ltd.,2004-09-30,2147.6,1785.5,361.7,591.9,938.5,16.84,Chemicals
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,2004-09-30,4838.1,4023.9,517.2,824.7,1083.8,10.69,Fertilisers
Gujarat State Fertilizers & Chemicals Ltd.,2004-09-30,6186.0,5816.7,347.9,619.1,1294.2,5.62,Fertilisers
H C L Technologies Ltd.,2004-09-30,3365.4,2885.2,907.5,952.1,1113.8,26.97,Computers
H D F C Bank Ltd.,2004-09-30,7447.0,7151.3,1522.9,2252.6,5443.9,20.45,Banks
H E G Ltd.,2004-09-30,1084.1,1016.8,81.0,97.6,173.1,7.47,Electrodes
H F C L Ltd.,2004-09-30,1042.7,1169.3,-63.4,-63.4,170.2,-6.08,Telecommunications
H L E Glascoat Ltd.,2004-09-30,80.0,78.6,3.3,5.2,8.5,4.13,Glass
Hatsun Agro Products Ltd.,2004-09-30,1110.9,1100.3,11.9,25.1,70.5,1.07,Food
Havells India Ltd.,2004-09-30,1382.3,1434.6,57.2,92.4,130.0,4.14,Electric
Heidelberg Cement India Ltd.,2004-09-30,989.2,1127.9,-80.2,-80.2,79.7,-8.11,Cement
Hero Motocorp Ltd.,2004-09-30,17571.6,16343.1,1943.6,2954.5,3162.7,11.06,Auto
Hikal Ltd.,2004-09-30,472.0,416.0,76.0,73.0,123.0,16.1,Pharmaceuticals
Hindalco Industries Ltd.,2004-09-30,24559.0,23511.0,2980.0,4947.0,6471.0,12.13,Steel
Hindustan Copper Ltd.,2004-09-30,1253.0,1281.4,114.0,114.0,255.3,9.1,Metals
Hindustan Petroleum Corpn. Ltd.,2004-09-30,135226.7,147196.0,2943.1,5100.1,6829.3,2.18,Refineries
Hindustan Unilever Ltd.,2004-09-30,24011.4,21738.3,3243.2,4019.6,4661.9,13.51,Personal
Hindustan Zinc Ltd.,2004-09-30,4710.0,4040.0,1450.0,1790.0,1990.0,30.79,Metals
Honeywell Automation India Ltd.,2004-09-30,1103.0,1065.0,79.0,69.0,102.0,7.16,Telecommunications
Housing & Urban Devp. Corpn. Ltd.,2004-09-30,6218.9,5189.1,1032.6,1320.3,6046.4,16.6,Construction
Housing Development Finance Corpn. Ltd.,2004-09-30,8402.6,5954.1,2481.3,3106.0,7975.1,29.53,Finance
I C I C I Bank Ltd.,2004-09-30,22305.2,26238.4,4420.8,5570.7,21023.8,19.82,Banks
I D B I Bank Ltd.,2004-09-30,15290.0,14410.0,1170.0,1170.0,13410.0,7.65,Bank - Private
I F B Industries Ltd.,2004-09-30,567.9,761.9,-160.5,-160.5,57.5,-28.26,Consumer
I T C Ltd.,2004-09-30,17860.9,13006.4,4880.7,6945.7,7799.3,27.33,Diversified
I T I Ltd.,2004-09-30,2992.3,4180.8,-1301.0,-1301.0,-784.5,-43.48,Telecommunications
India Cements Ltd.,2004-09-30,3015.1,3242.4,-177.3,-177.3,409.1,-5.88,Cement
Indian Hotels Co. Ltd.,2004-09-30,1728.1,1777.2,223.1,302.0,511.1,12.91,Hotels
Indian Oil Corpn. Ltd.,2004-09-30,317646.1,316685.3,12395.3,15723.1,23168.2,3.9,Refineries
Indian Overseas Bank,2004-09-30,9822.8,9417.2,1583.4,2405.8,7576.1,16.12,Banks
Indusind Bank Ltd.,2004-09-30,2786.9,2983.1,589.1,657.5,2457.8,21.14,Banks
Infosys Ltd.,2004-09-30,16900.0,12650.0,4550.0,5340.0,5900.0,26.92,Computers
Ipca Laboratories Ltd.,2004-09-30,1745.7,1649.4,255.9,336.6,412.2,14.66,Pharmaceuticals
Ircon International Ltd.,2004-09-30,2360.5,2389.2,97.4,155.2,177.3,4.13,Engineering
J B Chemicals & Pharmaceuticals Ltd.,2004-09-30,1034.9,854.5,219.7,249.1,288.3,21.23,Pharmaceuticals
J K Lakshmi Cement Ltd.,2004-09-30,1218.3,1207.1,47.1,47.1,192.3,3.87,Cement
J K Paper Ltd.,2004-09-30,1554.6,1535.5,40.6,73.0,283.0,2.61,Paper
J M Financial Ltd.,2004-09-30,34.6,0.7,34.6,34.5,34.5,100.0,Finance
J S W Steel Ltd.,2004-09-30,14985.6,13172.7,1327.9,2482.2,4582.0,8.86,Steel
Jamna Auto Inds. Ltd.,2004-09-30,389.8,404.6,9.0,9.0,31.7,2.31,Auto
Jindal Steel & Power Ltd.,2004-09-30,5017.4,3918.0,1234.8,1497.7,2073.1,24.61,Steel
Johnson Controls-Hitachi Air Conditioning India Ltd.,2004-09-30,429.4,400.0,2.1,2.1,16.3,0.49,Consumer
Jubilant Pharmova Ltd.,2004-09-30,2825.0,2617.0,303.0,445.0,588.0,10.73,Pharmaceuticals
K I O C L Ltd.,2004-09-30,,,,,,,Steel
K R B L Ltd.,2004-09-30,1300.8,1271.5,38.8,62.3,96.1,2.98,Food
K S B Ltd.,2004-09-30,817.0,760.0,98.0,154.0,179.0,12.0,Pumps
Kajaria Ceramics Ltd.,2004-09-30,677.4,605.4,80.1,80.1,155.2,11.82,Ceramics
Kalpataru Power Transmission Ltd.,2004-09-30,1222.6,1047.2,48.4,72.0,114.6,3.96,Power
Kansai Nerolac Paints Ltd.,2004-09-30,2317.4,2230.3,292.2,427.6,479.9,12.61,Paints
Kei Industries Ltd.,2004-09-30,446.2,466.6,10.5,16.6,37.8,2.35,Power
Kotak Mahindra Bank Ltd.,2004-09-30,975.3,1025.2,206.5,293.5,721.3,21.17,Banks
L I C Housing Finance Ltd.,2004-09-30,2492.0,2112.4,456.8,562.4,2213.8,18.33,Finance
La Opala R G Ltd.,2004-09-30,100.7,100.1,7.8,11.8,16.3,7.75,Glass
Lakshmi Machine Works Ltd.,2004-09-30,2309.6,2252.0,145.8,212.2,357.1,6.31,Textiles
Larsen & Toubro Ltd.,2004-09-30,29845.9,29953.7,4376.9,4987.5,5340.7,14.66,Infrastructure
Lupin Ltd.,2004-09-30,3020.2,2801.2,174.9,192.8,336.2,5.79,Pharmaceuticals
M M T C Ltd.,2004-09-30,25286.0,25174.7,224.6,274.6,283.6,0.89,Trading
M R F Ltd.,2004-09-30,6784.4,7368.7,-181.0,-236.6,86.9,-2.67,Tyres
Maharashtra Scooters Ltd.,2004-09-30,59.3,83.9,86.4,86.4,89.8,145.7,Auto
Mahindra & Mahindra Ltd.,2004-09-30,15544.1,17019.1,1229.2,1774.2,2293.2,7.91,Auto
Mahindra Lifespace Developers Ltd.,2004-09-30,200.8,194.4,11.3,19.5,38.7,5.63,Construction
Mangalore Refinery & Petrochemicals Ltd.,2004-09-30,41870.1,42791.8,1685.8,2705.4,4244.2,4.03,Refineries
Marico Ltd.,2004-09-30,2399.3,2389.2,167.3,185.2,211.6,6.97,Personal
Mastek Ltd.,2004-09-30,402.2,305.4,106.1,112.6,159.6,26.38,Computers
Max Financial Services Ltd.,2004-09-30,285.9,338.5,-2.6,-2.6,50.9,-0.91,Finance
Mphasis Ltd.,2004-09-30,640.1,600.2,51.0,55.9,66.6,7.97,Computers
N C C Ltd.,2004-09-30,2418.3,2351.3,114.1,150.0,203.5,4.72,Construction
N H P C Ltd.,2004-09-30,5256.0,4340.1,1521.2,1613.3,4011.6,28.94,Power
N L C India Ltd.,2004-09-30,7590.0,5860.0,2800.0,3980.0,5460.0,36.89,Power
N M D C Ltd.,2004-09-30,4453.6,3121.7,1460.9,2301.9,2452.0,32.8,Mining
N T P C Ltd.,2004-09-30,52497.0,50087.0,10940.0,14758.0,22337.0,20.84,Power
Natco Pharma Ltd.,2004-09-30,429.8,421.0,66.1,66.1,117.1,15.38,Pharmaceuticals
National Aluminium Co. Ltd.,2004-09-30,9768.8,7924.6,2755.0,4392.7,5700.5,28.2,Aluminium
Nesco Ltd.,2004-09-30,46.8,37.0,9.8,9.8,14.7,20.94,Diversified
Nestle India Ltd.,2004-09-30,5600.2,4634.6,688.5,1083.9,1207.5,12.29,Food
Nocil Ltd.,2004-09-30,567.1,909.9,287.4,287.8,332.6,50.68,Petrochemicals
Oil & Natural Gas Corpn. Ltd.,2004-09-30,92686.5,63527.7,33838.7,52960.6,68318.4,36.51,Oil Drilling And Exploration
P C B L Ltd.,2004-09-30,1666.0,1684.6,6.4,10.2,97.9,0.38,Carbon
P I Industries Ltd.,2004-09-30,1067.6,939.2,26.9,57.8,92.4,2.52,Chemicals
Patanjali Foods Ltd.,2004-09-30,9303.9,9534.3,77.3,109.8,233.6,0.83,Vegetable
Pfizer Ltd.,2004-08-31,1415.4,1427.8,134.4,206.5,233.5,9.5,Pharmaceuticals
Phoenix Mills Ltd.,2004-09-30,2.0,44.6,68.1,68.1,83.6,3405.0,Construction
Pidilite Industries Ltd.,2004-09-30,1996.5,1849.7,181.1,275.2,347.3,9.07,Chemicals
Poly Medicure Ltd.,2004-09-30,170.6,160.5,16.9,20.4,28.5,9.91,Hospitals
Polyplex Corporation Ltd.,2004-09-30,553.4,501.5,58.1,83.9,134.5,10.5,Packaging
Power Finance Corpn. Ltd.,2004-09-30,7960.5,5397.8,2703.9,4085.8,7821.5,33.97,Finance
Power Grid Corpn. Of India Ltd.,2004-09-30,5577.9,4937.3,1511.5,1621.5,5317.4,27.1,Power
Praj Industries Ltd.,2004-09-30,582.5,549.8,57.4,71.8,76.3,9.85,Engineering
Prism Johnson Ltd.,2004-09-30,884.7,870.4,-7.7,-7.7,111.4,-0.87,Cement
Privi Speciality Chemicals Ltd.,2004-09-30,56.6,50.7,1.5,2.7,7.2,2.65,Chemicals
Procter & Gamble Health Ltd.,2004-09-30,1009.8,832.2,201.5,308.7,330.7,19.95,Pharmaceuticals
Procter & Gamble Hygiene & Health Care Ltd.,2004-09-30,1420.8,1336.5,296.2,439.4,465.0,20.85,Personal
Punjab & Sind Bank,2004-09-30,,,,,,,Banks
Punjab National Bank,2004-09-30,20984.0,22863.3,4125.5,5457.2,16745.7,19.66,Banks
R E C Ltd.,2004-09-30,4983.7,3555.9,1581.4,2034.2,5006.9,31.73,Banks
Rain Industries Ltd.,2004-09-30,,0.7,-0.7,-0.7,-0.7,,Cement
Rajesh Exports Ltd.,2004-09-30,8712.3,8653.5,76.7,76.7,105.3,0.88,Metals
Rallis India Ltd.,2004-09-30,1760.0,1689.6,140.8,144.3,229.2,8.0,Chemicals
Ramco Cements Ltd.,2004-09-30,1960.5,1805.7,130.8,172.8,429.9,6.67,Cement
Rashtriya Chemicals & Fertilizers Ltd.,2004-09-30,9765.5,7509.8,368.4,625.4,801.1,3.77,Fertilisers
Ratnamani Metals & Tubes Ltd.,2004-09-30,420.0,413.9,31.9,55.2,72.2,7.6,Steel
Relaxo Footwears Ltd.,2004-09-30,499.7,499.8,2.7,4.2,24.1,0.54,Leather
Reliance Industries Ltd.,2004-09-30,161640.0,140020.0,17520.0,21180.0,34660.0,10.84,Refineries
S K F India Ltd.,2004-09-30,1476.3,1386.9,152.9,243.7,313.6,10.36,Bearings
S R F Ltd.,2004-09-30,2500.3,2465.3,105.6,178.8,370.3,4.22,Diversified
Sanofi India Ltd.,2004-09-30,1841.0,1472.0,425.0,658.0,700.0,23.09,Pharmaceuticals
Saregama India Ltd.,2004-09-30,263.4,242.1,13.0,13.0,26.2,4.94,Media
Schaeffler India Ltd.,2004-09-30,833.7,787.7,71.8,102.9,147.1,8.61,Bearings
Shipping Corpn. Of India Ltd.,2004-09-30,7726.3,5823.1,2101.3,2061.3,2810.3,27.2,Shipping
Shree Cement Ltd.,2004-09-30,1405.1,1232.7,170.0,184.5,405.4,12.1,Cement
Shriram Transport Finance Co. Ltd.,2004-09-30,869.7,776.1,125.8,201.0,640.7,14.46,Finance
Siemens Ltd.,2004-09-30,5636.1,5542.1,572.4,823.3,884.2,10.16,Infrastructure
Sonata Software Ltd.,2004-09-30,242.6,198.3,39.7,45.2,53.1,16.36,Computers
Spicejet Ltd.,2004-08-31,,7.3,-5.7,-5.7,-3.7,,Transport
State Bank Of India,2004-09-30,80848.4,86555.4,10818.9,18475.4,65525.7,13.38,Banks
Steel Authority Of India Ltd.,2004-09-30,67229.5,53633.3,15131.5,18231.4,21856.8,22.51,Steel
Sterlite Technologies Ltd.,2004-09-30,851.6,619.9,50.3,50.5,144.8,5.91,Cables
Strides Pharma Science Ltd.,2004-09-30,691.8,646.1,76.3,121.2,197.1,11.03,Pharmaceuticals
Sudarshan Chemical Inds. Ltd.,2004-09-30,1045.0,1013.5,57.3,90.8,133.3,5.48,Dyes
Sun Pharmaceutical Inds. Ltd.,2004-09-30,3000.4,2186.4,760.7,791.2,883.3,25.35,Pharmaceuticals
Sundaram-Clayton Ltd.,2004-09-30,1320.0,1291.2,125.4,175.9,234.7,9.5,Auto
Sundram Fasteners Ltd.,2004-09-30,2278.9,2198.1,147.7,216.5,293.4,6.48,Fasteners
Sunteck Realty Ltd.,2004-09-30,,,,,,0.0,Construction
Supreme Industries Ltd.,2004-09-30,1607.0,1827.3,24.8,26.8,186.5,1.54,Plastics
Swan Energy Ltd.,2004-09-30,2.4,4.7,-2.3,-2.3,-1.7,-95.83,Trading
Symphony Ltd.,2004-09-30,4.7,16.9,-13.8,-13.8,-8.2,-293.62,Consumer
T T K Prestige Ltd.,2004-09-30,479.1,486.7,13.8,22.2,43.7,2.88,Domestic
Tanla Platforms Ltd.,2004-09-30,18.7,4.2,15.8,16.1,16.7,84.49,Computers
Tata Chemicals Ltd.,2004-09-30,7290.2,6700.7,871.9,1270.9,1671.3,11.96,Chemicals
Tata Coffee Ltd.,2004-09-30,507.1,260.9,28.1,39.3,67.2,5.54,Plantations
Tata Communications Ltd.,2004-09-30,7789.0,7198.0,881.0,1441.0,2009.0,11.31,Telecommunications
Tata Consumer Products Ltd.,2004-09-30,2349.1,2424.3,532.0,698.1,776.1,22.65,Plantations
Tata Elxsi Ltd.,2004-09-30,438.4,378.0,61.3,68.4,80.8,13.98,Computers
Tata Investment Corpn. Ltd.,2004-09-30,257.1,17.7,277.2,285.1,285.5,107.82,Finance
Tata Motors Ltd.,2004-09-30,41453.5,39078.3,3092.1,4272.1,5738.1,7.46,Auto
Tata Power Co. Ltd.,2004-09-30,9403.9,9192.3,1418.9,1947.5,3186.1,15.09,Power
Tata Steel Ltd.,2004-09-30,37383.6,29168.6,9295.8,14532.3,16601.9,24.87,Steel
Tech Mahindra Ltd.,2004-09-30,2592.8,2278.3,314.5,334.3,408.7,12.13,Computers
Thermax Ltd.,2004-09-30,2197.5,2138.0,108.3,162.9,189.8,4.93,Infrastructure
Timken India Ltd.,2004-09-30,729.6,699.4,106.8,163.6,186.9,14.64,Bearings
Titan Company Ltd.,2004-09-30,2728.7,3187.9,103.3,105.5,236.0,3.79,Miscellaneous
Torrent Pharmaceuticals Ltd.,2004-09-30,1439.2,1249.3,212.4,288.5,334.5,14.76,Pharmaceuticals
Trent Ltd.,2004-09-30,541.0,568.2,36.9,58.2,66.9,6.82,Retail
Trident Ltd.,2004-09-30,1295.8,1280.2,144.2,186.6,326.2,11.13,Textiles
U P L Ltd.,2004-09-30,2482.4,2638.2,74.9,131.8,433.5,3.02,Chemicals
Uflex Ltd.,2004-09-30,2316.6,2223.5,105.7,177.3,366.6,4.56,Packaging
Uno Minda Ltd.,2004-09-30,462.6,452.8,17.2,25.1,59.4,3.72,Auto
V I P Industries Ltd.,2004-09-30,569.1,662.3,0.4,5.0,47.0,0.07,Personal
V S T Industries Ltd.,2004-09-30,726.6,632.5,101.8,181.4,205.3,14.01,Cigarettes
Vaibhav Global Ltd.,2004-09-30,392.0,373.1,26.1,26.1,31.1,6.66,Retail
Vakrangee Ltd.,2004-09-30,63.5,59.7,3.4,3.7,15.2,5.35,Computers
Vardhman Textiles Ltd.,2004-09-30,4782.6,4530.6,245.6,345.6,773.9,5.14,Textiles
Vedanta Ltd.,2004-09-30,1350.4,1395.4,239.6,367.6,419.5,17.74,Mining
Vinati Organics Ltd.,2004-09-30,128.8,128.7,11.4,17.7,23.5,8.85,Chemicals
Voltas Ltd.,2004-09-30,2863.5,2893.6,55.6,92.1,128.2,1.94,Diversified
Welspun India Ltd.,2004-09-30,1042.5,982.4,110.4,191.3,323.9,10.59,Textiles
