Company Name,Date,Net sales,Total expenses,Net Profit/(Loss) for the period from continuing operations (after tax),PBT,PBDIT,PAT as % of net sales,Sector
Rashtriya Chemicals & Fertilizers Ltd.,2015-06-30,9474.2,8335.4,992.4,1395.5,2555.7,10.47,Fertilisers
Ratnamani Metals & Tubes Ltd.,2015-06-30,18245.4,19646.2,561.0,819.1,1500.4,3.07,Steel
Relaxo Footwears Ltd.,2015-06-30,4342.9,3959.0,504.7,774.7,923.3,11.62,Leather
Reliance Industries Ltd.,2015-06-30,4535.9,4198.9,359.7,534.4,689.8,7.93,Refineries
S K F India Ltd.,2015-06-30,658170.0,630670.0,63690.0,82630.0,108900.0,9.68,Bearings
S R F Ltd.,2015-06-30,6119.0,5558.9,465.5,709.1,848.0,7.61,Diversified
Sanofi India Ltd.,2015-06-30,9653.2,8572.1,1055.3,1501.9,2383.2,10.93,Pharmaceuticals
Saregama India Ltd.,2015-06-30,5497.0,5007.0,642.0,1028.0,1313.0,11.68,Media
Schaeffler India Ltd.,2015-06-30,519.7,491.2,26.3,36.6,48.1,5.06,Bearings
Shipping Corpn. Of India Ltd.,2015-06-30,4321.2,4040.0,492.7,761.5,896.1,11.4,Shipping
Shree Cement Ltd.,2015-06-30,10848.1,9147.6,2037.8,2197.8,3914.4,18.78,Cement
Shriram Transport Finance Co. Ltd.,2015-06-30,17245.9,16985.6,1041.1,1074.0,3720.1,6.04,Finance
Siemens Ltd.,2015-06-30,23517.6,20322.3,3211.1,4790.1,16817.5,13.65,Infrastructure
Sonata Software Ltd.,2015-06-30,23783.8,22813.6,1682.6,2503.4,3086.2,7.07,Computers
Spicejet Ltd.,2015-06-30,1176.9,1043.2,236.4,323.1,341.3,20.09,Transport
State Bank Of India,2015-06-30,11130.1,10608.7,729.7,729.7,1463.9,6.56,Banks
Steel Authority Of India Ltd.,2015-06-30,396428.9,410384.4,36924.3,52023.7,311132.3,9.31,Steel
Sterlite Technologies Ltd.,2015-06-30,94931.1,110921.7,-2481.8,-6644.7,2955.9,-2.61,Cables
Strides Pharma Science Ltd.,2015-06-30,4339.7,4266.5,406.0,596.9,1018.4,9.36,Pharmaceuticals
Sudarshan Chemical Inds. Ltd.,2015-06-30,4865.7,5171.9,145.1,241.8,760.1,2.98,Dyes
Sun Pharmaceutical Inds. Ltd.,2015-06-30,2942.2,2908.3,182.1,261.5,429.8,6.19,Pharmaceuticals
Sundaram-Clayton Ltd.,2015-06-30,20487.4,24995.6,-3963.5,-3924.1,-1390.7,-19.35,Auto
Sundram Fasteners Ltd.,2015-06-30,3451.2,3462.6,304.6,330.6,567.8,8.83,Fasteners
Sunteck Realty Ltd.,2015-06-30,6319.4,6117.6,385.1,541.5,862.9,6.09,Construction
Supreme Industries Ltd.,2015-06-30,185.8,277.4,-8.1,-8.1,-2.5,-4.36,Plastics
Swan Energy Ltd.,2015-06-30,12779.5,10024.9,1407.2,2122.6,2587.3,11.01,Trading
Symphony Ltd.,2015-06-30,720.9,700.4,0.7,0.7,38.4,0.1,Consumer
T T K Prestige Ltd.,2015-06-30,1107.7,975.9,222.6,289.0,296.3,20.1,Domestic
Tanla Platforms Ltd.,2015-06-30,3404.4,3151.2,219.6,316.5,368.8,6.45,Computers
Tata Chemicals Ltd.,2015-06-30,722.0,711.7,10.5,21.1,28.5,1.45,Chemicals
Tata Coffee Ltd.,2015-06-30,22908.7,26678.2,1681.9,2233.9,3415.9,7.34,Plantations
Tata Communications Ltd.,2015-06-30,1747.4,1629.9,152.2,215.2,292.6,8.71,Telecommunications
